file	genus	species	subspecies	serotype
V_04_0440_GLE7360A3.031221.circlator.quiver.031490.fasta	Salmonella	bongori	V	S. bongori	
II_08_0466_GLE7360A7.031230.canu.quiver.031612.fasta	Salmonella	enterica	II	
II_2011K_1440_GLE7372A2.031537.circlator.quiver.031618.fasta	Salmonella	enterica	II	
IIIa_2014K_1020_GLE7360A13.031225.circlator.quiver.031499.fasta	Salmonella	enterica	IIIa	
IIIb_2015K_1072_GLE7367A18.031335.circlator.quiver.031597.fasta	Salmonella	enterica	IIIb	
I_SalJFX2010K2370c1Infantis.fa	Salmonella	enterica	I	
IV_SalTDH2012K0845.fasta	Salmonella	enterica	IV	
VI_68_4603_GLE7360A6.031228.circlator.quiver.031493.fasta	Salmonella	enterica	VI	
IV_64_2439_GLE7360A5.031226.circlator.quiver.031492.fasta	Salmonella	enterica	IV	
II_62_3163_GLE7372A19.031473.circlator.quiver.031513.fasta	Salmonella	enterica	II	
