Detected	Nomenclature
O2	O2/O50
O13	O13/O129/O135
O17	O17/O44/O73/O77/O106
O18	O18
O20	O20/O137
O28	O28/O42
O42	O28/O42
O44	O17/O44/O73/O77/O106
O46	O46/O134
O50	O2/O50
O62	O62/O68
O68	O62/O68
O73	O17/O44/O73/O77/O106
O77	O17/O44/O73/O77/O106
O89	O89/O101/O162
O90	O90/O127
O101	O89/O101/O162
O106	O17/O44/O73/O77/O106
O107	O107/O117
O117	O107/O117
O118	O118/O151
O123	O123/O186
O124	O124/O164
O127	O90/O127
O129	O13/O129/O135
O134	O46/O134
O135	O13/O129/O135
O137	O20/O137
O151	O118/O151
O153	O153/O178
O162	O89/O101/O162
O164	O124/O164
O169	O169/O183
O178	O153/O178
O183	O169/O183
O186	O123/O186
O17/O77	O17/O44/O73/O77/O106
O28/O42	O28/O42
O50/O2	O2/O50
O118/O151	O118/O151
O153/O178	O153/O178
O13/O135	O13/O129/O135
O17/O44	O17/O44/O73/O77/O106
O123/O186	O123/O186
O169/O183	O169/O183
